,Unnamed: 0,url_length,hostname_length,path_length,has_ip,has_at_symbol,count_dots,count_hyphens,uses_https,suspicious_words
316468,316468,41,0,41,False,False,3,0,False,0
636609,636609,33,0,33,False,False,2,0,False,0
148353,148353,33,0,33,False,False,2,0,False,0
488914,488914,88,0,88,False,False,2,7,False,0
379661,379661,62,8,47,False,False,2,7,False,0
446691,446691,191,19,28,False,False,3,0,False,0
6626,6626,35,0,35,False,False,1,1,False,0
152924,152924,31,0,31,False,False,2,0,False,0
274048,274048,39,0,39,False,False,1,0,False,0
279470,279470,132,29,10,False,False,3,3,False,0
398675,398675,40,0,40,False,False,1,0,False,0
422681,422681,35,0,35,False,False,3,0,False,0
396737,396737,48,0,48,False,False,2,0,False,0
233377,233377,48,14,27,False,False,3,0,False,0
354838,354838,62,14,10,False,False,2,0,False,0
340682,340682,39,0,19,False,False,2,0,False,0
328114,328114,40,0,23,False,False,3,0,False,0
2274,2274,88,9,72,False,False,1,1,False,0
335195,335195,83,0,83,False,False,1,11,False,0
430848,430848,57,0,26,False,False,3,0,False,0
515864,515864,106,19,10,False,False,2,0,False,0
599682,599682,75,0,75,False,False,6,0,False,0
28820,28820,43,0,43,False,False,2,1,False,0
273371,273371,35,0,35,False,False,1,0,False,0
177235,177235,16,0,16,False,False,2,0,False,0
8713,8713,76,34,35,False,False,2,2,False,0
160703,160703,107,0,107,False,False,1,9,False,0
481122,481122,31,0,17,False,False,1,0,False,0
59733,59733,45,0,36,False,False,2,0,False,0
173028,173028,170,21,10,False,False,2,4,False,0
573278,573278,27,0,27,False,False,2,0,False,0
118095,118095,36,0,36,False,False,1,1,False,0
305336,305336,27,0,27,False,False,1,0,False,0
309251,309251,50,20,23,False,False,4,1,False,0
171806,171806,100,21,10,False,False,3,0,False,0
547064,547064,36,13,16,True,False,4,0,False,0
152270,152270,72,0,72,False,False,2,6,False,0
222387,222387,62,0,62,False,False,1,5,False,0
151201,151201,68,15,10,False,False,2,0,False,0
438593,438593,99,9,83,False,False,1,0,False,0
429942,429942,69,15,4,False,False,2,0,False,0
600776,600776,67,0,58,False,False,7,1,False,1
278102,278102,44,0,44,False,False,2,0,False,0
587532,587532,187,0,187,False,False,9,0,False,1
254717,254717,37,0,37,False,False,2,0,False,0
476810,476810,62,0,62,False,False,1,6,False,0
5883,5883,92,8,77,False,False,1,10,False,0
283189,283189,31,0,31,False,False,1,1,False,0
639230,639230,21,0,21,False,False,1,0,False,0
435884,435884,32,0,32,False,False,2,2,False,0
262811,262811,23,0,23,False,False,1,0,False,0
362704,362704,67,0,67,False,False,2,1,False,0
350727,350727,39,21,11,False,False,4,1,False,0
142011,142011,51,0,51,False,False,1,1,False,0
205252,205252,64,26,31,False,False,3,1,False,0
348176,348176,43,0,43,False,False,1,0,False,0
230621,230621,32,0,32,False,False,2,0,False,0
97153,97153,49,0,49,False,False,1,3,False,0
285164,285164,136,0,136,False,False,2,14,False,0
485570,485570,103,10,55,False,False,3,1,True,0
370041,370041,19,0,19,False,False,1,0,False,0
462387,462387,119,24,10,False,False,3,1,False,0
552203,552203,33,12,13,False,False,1,0,True,0
587252,587252,221,0,221,False,False,4,6,False,0
459344,459344,97,0,97,False,False,1,6,False,0
531835,531835,38,16,14,False,False,3,0,True,0
579456,579456,57,0,57,False,False,1,1,False,0
326567,326567,16,0,16,False,False,1,0,False,0
381542,381542,109,14,88,False,False,2,10,False,0
261292,261292,68,0,68,False,False,2,7,False,0
63500,63500,35,17,11,False,False,3,0,False,0
372901,372901,17,0,17,False,False,1,0,False,0
234687,234687,42,0,42,False,True,1,0,False,0
333903,333903,57,0,57,False,False,2,2,False,0
590645,590645,65,0,65,False,False,5,0,False,0
508725,508725,143,21,10,False,False,3,2,False,0
27915,27915,60,0,60,False,False,1,3,False,0
239405,239405,30,0,30,False,False,2,0,False,0
548094,548094,31,11,7,True,False,4,0,False,0
507162,507162,80,0,64,False,False,3,0,False,0
635532,635532,30,0,30,False,False,2,0,False,0
132201,132201,32,0,32,False,False,2,1,False,0
502756,502756,31,0,31,False,False,1,1,False,0
17528,17528,79,0,48,False,False,3,0,False,0
483449,483449,25,0,25,False,False,1,0,False,0
389531,389531,87,20,10,False,False,3,0,False,0
577728,577728,57,0,57,False,False,1,0,False,0
469847,469847,48,0,48,False,False,1,2,False,0
206150,206150,20,0,20,False,False,2,0,False,0
319118,319118,29,0,29,False,False,2,0,False,0
104408,104408,35,18,10,False,False,3,1,False,0
215849,215849,41,0,41,False,False,4,1,False,0
238933,238933,128,14,10,False,False,2,0,False,0
583518,583518,49,0,49,False,False,4,0,False,0
511400,511400,75,0,75,False,False,2,5,False,0
40795,40795,47,0,47,False,False,2,0,False,0
369588,369588,41,0,41,False,False,1,0,False,0
280827,280827,104,14,83,False,False,3,9,False,0
609483,609483,25,0,25,False,False,2,0,False,0
420759,420759,32,0,32,False,False,1,0,False,0
114236,114236,31,0,17,False,False,1,0,False,0
40221,40221,90,6,77,False,False,1,11,False,0
138207,138207,45,17,21,False,False,3,0,False,0
127551,127551,45,0,36,False,False,2,0,False,0
456269,456269,26,0,26,False,False,1,0,False,0
242387,242387,49,0,49,False,False,1,1,False,0
640761,640761,35,0,35,False,False,3,2,False,0
276794,276794,43,0,43,False,False,2,0,False,0
52337,52337,36,0,36,False,False,2,0,False,0
322594,322594,93,15,10,False,False,3,0,False,0
157232,157232,48,0,48,False,False,2,1,False,0
351980,351980,94,6,81,False,False,2,1,False,0
586510,586510,110,0,27,False,False,5,1,False,2
432927,432927,75,17,10,False,False,2,0,False,0
88486,88486,106,13,10,False,False,2,2,False,0
1465,1465,71,0,71,False,False,1,5,False,0
493440,493440,55,0,28,False,False,2,0,False,0
320590,320590,65,0,65,False,False,1,1,False,0
397781,397781,24,0,24,False,False,1,0,False,0
105207,105207,30,0,30,False,False,2,0,False,0
527227,527227,246,25,51,False,False,3,0,True,1
567707,567707,103,0,46,False,False,7,1,False,2
611057,611057,28,0,28,False,False,3,0,False,0
74014,74014,11,0,11,False,False,1,0,False,0
648112,648112,32,0,32,False,False,3,0,False,0
405608,405608,26,0,26,False,False,2,0,False,0
40864,40864,11,0,11,False,False,1,0,False,0
131810,131810,89,7,75,False,False,1,10,False,0
313061,313061,99,17,11,False,False,3,4,False,1
375841,375841,37,0,37,False,False,1,0,False,0
341339,341339,32,0,32,False,False,1,1,False,0
246449,246449,67,0,67,False,False,3,4,False,0
189469,189469,31,0,31,False,False,1,0,False,0
281612,281612,35,0,35,False,False,2,0,False,0
642374,642374,44,0,44,False,False,4,0,False,0
595224,595224,69,0,24,False,False,4,2,False,0
20519,20519,93,0,93,False,False,2,7,False,0
313669,313669,25,0,25,False,False,1,0,False,0
359514,359514,15,0,15,False,False,2,0,False,0
331752,331752,88,6,75,False,False,1,4,False,0
639610,639610,39,0,39,False,False,2,0,False,0
320598,320598,57,0,57,False,False,1,4,False,0
365085,365085,99,28,10,False,False,3,0,False,0
318312,318312,38,14,11,False,False,2,1,False,0
267926,267926,30,0,30,False,False,2,0,False,0
231059,231059,18,0,18,False,False,1,0,False,0
290579,290579,18,0,18,False,False,2,0,False,0
354566,354566,114,15,10,False,False,3,1,False,0
494022,494022,129,11,111,False,False,2,11,False,0
151502,151502,107,15,85,False,False,2,3,False,0
324278,324278,27,0,27,False,False,1,0,False,0
461188,461188,103,24,72,False,False,3,6,False,0
548884,548884,52,20,24,False,False,3,1,True,0
26263,26263,27,0,27,False,False,1,0,False,0
631570,631570,39,0,39,False,False,3,0,False,0
30554,30554,19,0,19,False,False,2,0,False,0
13852,13852,21,0,21,False,False,1,1,False,0
77384,77384,40,0,40,False,False,2,0,False,0
626873,626873,35,0,35,False,False,3,0,False,0
220241,220241,45,0,45,False,False,2,1,False,0
218570,218570,72,21,44,False,False,4,0,False,0
427512,427512,66,0,66,False,False,1,5,False,0
78586,78586,81,0,81,False,False,2,2,False,0
524588,524588,22,13,1,False,False,1,0,True,0
523727,523727,84,17,60,False,False,2,1,False,1
487264,487264,31,0,31,False,False,1,0,False,0
584463,584463,45,0,45,False,False,3,0,False,0
390422,390422,42,0,42,False,False,2,1,False,0
406854,406854,140,22,10,False,False,3,2,False,0
586548,586548,145,0,54,False,False,9,1,False,2
